time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2026-08-18 14:31:15.633 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , ,1, , , ,3159893,1377,1,744,744,1, ,2,4,1427,43617050624,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1787063475039,,, , , , , , , , , ,3145728,1377,16,16,11,16, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,42,1463,590348272,3, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2026-08-18 14:31:16.523 UTC, , , , , , , , , ,125,3164445,18592, , ,4, ,16, , , , , , , , , ,4,4, , , , ,1,5, ,1, , , , , , , , , ,1, , , ,3164445,1377,1,744,744, , , , ,1427,43617050624,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1787063475039,,, , , , , , , , , ,3145728,2499,13,13,11,13, , , ,10,10,2,10, ,3,10, , , , , , , , , , ,4096,2,1099,10, , , , , , , , ,854589424,3, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, ,9,4,1, , , , , , , , , , 
2026-08-18 14:31:16.650 UTC, , , , , , , , , ,125,3160589,14736, , ,3,1,25,3,0.12, , , , , , , ,3,3, ,2,1,2,1,4, ,23,12, , , , , , , , ,1, , , ,3160589,3919,2, ,2623, , , , , , ,-1,-1,-1,-1, , , , , ,1,49, , , , , , , , , , , , , , , , , , , , , , , , , , ,1787063476591,,, , , , , , , , , ,3145728,3919, , , , , , ,21, , ,2, , ,3, , ,21, ,2048,1, , , , , ,103085,32, , , , , , , , ,42,1463,880803720,3, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2026-08-18 14:32:16.661 UTC, , , , , , , , , ,1469,3384741,236872,672, ,42, ,7462,1,0.00, , , , , , , ,42,8, , , ,21,8,13, ,5607,2, , , , , , , , ,1, , , ,3384741,3919,2, ,2623, , , , ,293910,43615997952,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,293910,1787063476591,,, , , , , , , , , ,3145728,293880,18,21,11,22, , ,4,216,163,3,216, ,3,165, ,4,1, , , , , , , ,10389,7,289944,163, , , , , , ,2,140,608698368,2, , , , , , ,18059,3, , , , , , , , , , , , , , , , , , , , , , , , , , , ,228, ,3028, ,16650,3585,462,58, , , , , , , , , 
2026-08-18 14:33:16.668 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,311, , , , , , , , , ,43,8, , , ,21,8,13, ,175, , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,296629,43615354880,27,27,27,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,296629,1787063476591,,, , , , , , , , , ,3145728,304140,20,20,12,20, , , ,4,4, ,4, ,3,8, , ,1, , , , , , , , , ,10260,4, , , , , , , , ,1218969600,1, , , , , , ,743, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,103, ,436,186,12, , , , , , , , , , 
2026-08-18 14:34:16.674 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,44, , , , , , , , , ,43,8, , , ,21,8,13, ,45, , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43615502336,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,8,8,7,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,1459093504,1, , , , , , ,113, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,83,30,12, , , , , , , , , , 
2026-08-18 14:35:16.681 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,37, , , , , , , , , ,43,8, , , ,21,8,13, ,37, , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43615625216,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,8,8,7,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,1645740032,1, , , , , , ,96, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,71,25,12, , , , , , , , , , 
2026-08-18 14:36:16.688 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,37, , , , , , , , , ,43,8, , , ,21,8,13, ,50, , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43615612928,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,8,8,5,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,1749549056, , , , , , , ,132, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109,23,12, , , , , , , , , , 
2026-08-18 14:37:16.693 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,12, , , , , , , , , ,43,8, , , ,21,8,13, , , , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43615449088,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,8,8,7,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,1798832128,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2026-08-18 14:38:16.698 UTC, , , , , , , , , ,1469,3394925,247056,672, ,43, ,12, , , , , , , , , ,43,8, , , ,21,8,13, , , , , , , , , , , ,1, , , ,3394925,3919,2, ,2623, , , , ,304170,43615653888,28,28,28,28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,304170,1787063476591,,, , , , , , , , , ,3145728,304140,8,8,7,8, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,1825046528,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
